DeviceId,ChannelNo,Timestamp,Value
dev01,1,2026-06-20T00:00:00,100.2
dev01,1,2026-06-20T00:05:00,99.8
dev01,1,2026-06-20T00:10:00,100.1
dev01,1,2026-06-20T00:15:00,100.0
dev01,1,2026-06-20T00:20:00,99.9
dev01,1,2026-06-20T00:25:00,100.3
dev01,1,2026-06-20T00:30:00,100.1
dev01,1,2026-06-20T00:35:00,99.7
dev01,1,2026-06-20T00:40:00,100.0
dev01,1,2026-06-20T00:45:00,100.2
dev01,1,2026-06-20T00:50:00,99.9
dev01,1,2026-06-20T00:55:00,100.1
dev01,2,2026-06-20T00:00:00,99.5
dev01,2,2026-06-20T00:05:00,99.7
dev01,2,2026-06-20T00:10:00,99.6
dev01,2,2026-06-20T00:15:00,99.8
dev01,2,2026-06-20T00:20:00,99.5
dev01,2,2026-06-20T00:25:00,99.9
dev01,2,2026-06-20T00:30:00,99.6
dev01,2,2026-06-20T00:35:00,99.7
dev01,2,2026-06-20T00:40:00,99.8
dev01,2,2026-06-20T00:45:00,99.5
dev01,2,2026-06-20T00:50:00,99.6
dev01,2,2026-06-20T00:55:00,99.7
dev02,1,2026-06-20T00:00:00,200.5
dev02,1,2026-06-20T00:05:00,199.8
dev02,1,2026-06-20T00:10:00,200.1
dev02,1,2026-06-20T00:15:00,200.3
dev02,1,2026-06-20T00:20:00,199.9
dev02,1,2026-06-20T00:25:00,200.2
dev02,1,2026-06-20T00:30:00,200.0
dev02,1,2026-06-20T00:35:00,199.7
dev02,1,2026-06-20T00:40:00,200.4
dev02,1,2026-06-20T00:45:00,200.1
dev02,1,2026-06-20T00:50:00,199.8
dev02,1,2026-06-20T00:55:00,200.2
dev02,2,2026-06-20T00:00:00,198.9
dev02,2,2026-06-20T00:05:00,199.2
dev02,2,2026-06-20T00:10:00,199.0
dev02,2,2026-06-20T00:15:00,199.3
dev02,2,2026-06-20T00:20:00,199.1
dev02,2,2026-06-20T00:25:00,198.8
dev02,2,2026-06-20T00:30:00,199.0
dev02,2,2026-06-20T00:35:00,199.2
dev02,2,2026-06-20T00:40:00,199.1
dev02,2,2026-06-20T00:45:00,198.9
dev02,2,2026-06-20T00:50:00,199.3
dev02,2,2026-06-20T00:55:00,199.0
dev02,3,2026-06-20T00:00:00,201.0
dev02,3,2026-06-20T00:05:00,200.7
dev02,3,2026-06-20T00:10:00,201.2
dev02,3,2026-06-20T00:15:00,200.9
dev02,3,2026-06-20T00:20:00,201.1
dev02,3,2026-06-20T00:25:00,200.8
dev02,3,2026-06-20T00:30:00,201.0
dev02,3,2026-06-20T00:35:00,201.3
dev02,3,2026-06-20T00:40:00,200.9
dev02,3,2026-06-20T00:45:00,201.1
dev02,3,2026-06-20T00:50:00,200.7
dev02,3,2026-06-20T00:55:00,201.0
dev03,1,2026-06-20T00:00:00,200.1
dev03,1,2026-06-20T00:05:00,200.0
dev03,1,2026-06-20T00:10:00,199.8
dev03,1,2026-06-20T00:15:00,199.5
dev03,1,2026-06-20T00:20:00,198.0
dev03,1,2026-06-20T00:25:00,196.5
dev03,1,2026-06-20T00:30:00,194.0
dev03,1,2026-06-20T00:35:00,191.0
dev03,1,2026-06-20T00:40:00,188.5
dev03,1,2026-06-20T00:45:00,186.0
dev03,1,2026-06-20T00:50:00,184.0
dev03,1,2026-06-20T00:55:00,182.5
